,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,CLUSTER
0,4.0,1.0,5.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,3.0,4.0,5.0,1
1,3.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,1.0,5.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,5.0,3.0,1
2,2.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,1
3,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,5.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3
4,3.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,3.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,5.0,1
5,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,4.0,5.0,2.0,1
6,4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,4.0,3.0,4.0,1.0,5.0,5.0,4.0,4.0,1
7,3.0,1.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,1.0,3.0,1.0,5.0,1.0,4.0,3.0,4.0,5.0,1
8,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,0.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,2.0,5.0,5.0,1
9,1.0,5.0,3.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3
10,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,2.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,3
11,3.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,5.0,2
12,4.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,1
13,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,5.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,2.0,5.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,2.0,2.0,4.0,5.0,5.0,3.0,4
14,1.0,5.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,5.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,5.0,4.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,5.0,4
15,2.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,3.0,4.0,1.0,3.0,3.0,5.0,5.0,2
16,1.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4
17,4.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,5.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1
18,4.0,2.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,0.0,3.0,5.0,3.0,1.0,5.0,3.0,2.0,1.0,2.0,4.0,1.0,5.0,1.0,3.0,5.0,4.0,2.0,5.0,3.0,1
19,5.0,1.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,2.0,3.0,2
20,3.0,3.0,2.0,3.0,4.0,3.0,1.0,5.0,1.0,2.0,5.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4
21,3.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,5.0,1.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,2
22,1.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,5.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,5.0,3.0,1
23,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,0.0,5.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,4.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,4.0,1
24,1.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,5.0,3.0,2.0,5.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,2.0,4
25,2.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,5.0,3.0,2
26,4.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,5.0,5.0,4.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,4.0,1
27,1.0,3.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,3.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0,5.0,3
28,2.0,2.0,3.0,5.0,3.0,3.0,1.0,4.0,1.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,4
29,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,5.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,5.0,1.0,5.0,2.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,1.0,3.0,4.0,5.0,3.0,4
30,2.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,2.0,4.0,1.0,5.0,5.0,4.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,1
31,2.0,4.0,2.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4
32,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,1.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,5.0,1
33,3.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,4.0,3
34,2.0,2.0,0.0,2.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,3
35,1.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,1.0,3.0,5.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,2.0,1.0,4.0,5.0,5.0,3.0,4
36,5.0,1.0,4.0,1.0,5.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,3.0,5.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,2
37,3.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,3
38,2.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,1
39,5.0,1.0,5.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,4.0,5.0,2.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0,4.0,4.0,1
40,2.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,2.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4
41,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,4
42,3.0,3.0,5.0,2.0,5.0,1.0,4.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,4.0,1
43,2.0,1.0,4.0,1.0,5.0,2.0,2.0,5.0,1.0,3.0,4.0,0.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,4.0,3.0,1
44,2.0,4.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0,1
45,3.0,1.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0,2
46,4.0,2.0,4.0,2.0,3.0,0.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,4.0,2.0,5.0,3
47,3.0,3.0,4.0,3.0,4.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,5.0,3.0,4.0,3.0,1
48,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,1.0,5.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,4.0,3.0,5.0,4.0,1
