,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,CLUSTER
49,3.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,1
50,4.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,3.0,5.0,4.0,2
51,1.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,1.0,5.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,4
52,1.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,2.0,3.0,3.0,0.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,2.0,5.0,4.0,1.0,3.0,4.0,4.0,2.0,3.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,3
53,1.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,1
54,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,5.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,1
55,5.0,1.0,5.0,2.0,4.0,1.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,4.0,4.0,1
56,2.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,3
57,3.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1
58,4.0,5.0,4.0,4.0,4.0,1.0,2.0,2.0,0.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,5.0,0.0,4.0,1.0,4.0,3.0,5.0,4.0,1.0,3.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0,1.0,4.0,5.0,2.0,5.0,1
59,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,4.0,5.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2
60,2.0,1.0,3.0,3.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0,2
61,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,2
62,5.0,1.0,3.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,0.0,3.0,3.0,5.0,2
63,4.0,1.0,4.0,2.0,5.0,1.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,2
64,1.0,4.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,5.0,3.0,3.0,2.0,5.0,1.0,4.0,4.0,4
65,3.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,5.0,4.0,4.0,4.0,1
66,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,1.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,3
67,4.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,4.0,4.0,5.0,5.0,1
68,3.0,5.0,3.0,4.0,2.0,5.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,3.0,5.0,5.0,4
69,1.0,5.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,5.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,5.0,5.0,4
70,3.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0,1
71,3.0,4.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,1.0,3.0,2.0,5.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,5.0,4.0,3.0,1.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,2.0,3
72,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,5.0,0
73,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,4
74,2.0,2.0,3.0,3.0,5.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,5.0,2.0,4.0,1.0,4.0,5.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,4.0,4.0,1
75,1.0,4.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,5.0,2.0,5.0,4.0,1
76,4.0,2.0,5.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,5.0,4.0,1
77,1.0,5.0,3.0,4.0,3.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,4
78,2.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,4.0,5.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,3.0,4.0,1.0,5.0,2.0,4.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,5.0,1.0,3.0,1.0,4.0,1.0,4.0,5.0,5.0,4.0,3
79,3.0,2.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,2.0,3.0,1.0,4.0,1.0,5.0,2.0,5.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,1.0,5.0,2.0,4.0,3.0,2
80,4.0,1.0,5.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,2.0,5.0,2.0,3.0,1.0,5.0,5.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,4.0,4.0,1
81,3.0,1.0,5.0,2.0,5.0,1.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0,5.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,2
82,4.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,5.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3
83,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,0
84,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,3
85,4.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,1.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,1
86,2.0,4.0,2.0,5.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0,5.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4
87,4.0,1.0,5.0,1.0,5.0,1.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,2
88,3.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,2
89,4.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,5.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,4.0,2.0,4.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,1
90,3.0,3.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,1.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,2
91,4.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,5.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,5.0,2.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,4.0,5.0,4.0,2
92,2.0,4.0,4.0,5.0,3.0,4.0,1.0,5.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4
93,2.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,0.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2
94,1.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,4.0,2.0,4
95,3.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,1.0,5.0,1.0,5.0,4.0,5.0,2.0,4.0,1.0,3.0,2.0,5.0,4.0,5.0,5.0,2
96,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,4.0,5.0,5.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,1.0,5.0,1.0,5.0,4.0,4.0,3.0,1
97,4.0,3.0,5.0,2.0,5.0,1.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,5.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0,4.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,3
98,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,5.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,5.0,1.0,5.0,2.0,5.0,4.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,4
99,2.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,2.0,5.0,4.0,2.0,5.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,1.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,4.0,4.0,5.0,4
